target_draw_date,model_name,model_version,actual,bonus,final_6_hits,top_6_hits,top_12_hits,top_18_hits,matched_final,brier_score,log_loss,mean_actual_rank
2020-02-19,ema_gap,v1.0.0,"[5, 6, 13, 23, 44, 49]",40,0,0,1,1,[],0.11118643750168124,0.38919003052449946,26.666666666666668
2020-02-19,logistic,v1.0.0,"[5, 6, 13, 23, 44, 49]",40,0,0,2,2,[],0.10882420019415319,0.37797030809728543,28.0
2020-02-19,ensemble,v1.0.0,"[5, 6, 13, 23, 44, 49]",40,0,0,1,1,[],0.10885811502315909,0.37852337206499365,29.5
2020-02-22,random,v1.0.0,"[2, 7, 26, 33, 46, 48]",25,1,1,2,2,[2],0.10745522698875466,0.37177617994345313,27.0
2020-02-22,long_frequency,v1.0.0,"[2, 7, 26, 33, 46, 48]",25,0,0,1,2,[],0.10731511040284811,0.3710423193146305,22.0
2020-02-22,recent_frequency,v1.0.0,"[2, 7, 26, 33, 46, 48]",25,2,2,2,2,"[2, 48]",0.10719332611411912,0.3708692020337259,23.833333333333332
2020-02-22,ema_gap,v1.0.0,"[2, 7, 26, 33, 46, 48]",25,1,1,2,2,[2],0.10669019394225407,0.36873920797808873,21.833333333333332
2020-02-22,logistic,v1.0.0,"[2, 7, 26, 33, 46, 48]",25,0,0,2,3,[],0.10678422841483598,0.36796649073285326,20.333333333333332
2020-02-22,ensemble,v1.0.0,"[2, 7, 26, 33, 46, 48]",25,0,0,2,2,[],0.10673121744114294,0.3679647801557311,20.0
2020-02-26,random,v1.0.0,"[8, 25, 34, 35, 36, 38]",5,0,0,1,1,[],0.10745522698875466,0.3717761799434531,29.333333333333332
2020-02-26,long_frequency,v1.0.0,"[8, 25, 34, 35, 36, 38]",5,1,1,2,2,[34],0.10727178276907244,0.3709136336517645,23.5
2020-02-26,recent_frequency,v1.0.0,"[8, 25, 34, 35, 36, 38]",5,0,0,1,1,[],0.10841046897126198,0.3755882339076394,26.666666666666668
2020-02-26,ema_gap,v1.0.0,"[8, 25, 34, 35, 36, 38]",5,0,0,0,1,[],0.11152720005053089,0.3876169776518817,27.666666666666668
2020-02-26,logistic,v1.0.0,"[8, 25, 34, 35, 36, 38]",5,2,2,2,2,"[8, 36]",0.10698423989025728,0.36930792514929794,22.833333333333332
2020-02-26,ensemble,v1.0.0,"[8, 25, 34, 35, 36, 38]",5,0,0,1,2,[],0.10793794394760592,0.37372517385317633,25.666666666666668
2020-02-29,random,v1.0.0,"[6, 12, 15, 18, 31, 43]",13,1,1,2,4,[6],0.10745522698875465,0.37177617994345336,20.833333333333332
2020-02-29,long_frequency,v1.0.0,"[6, 12, 15, 18, 31, 43]",13,2,2,2,2,"[31, 43]",0.10753369435796656,0.372242376442981,27.333333333333332
2020-02-29,recent_frequency,v1.0.0,"[6, 12, 15, 18, 31, 43]",13,1,1,1,2,[43],0.10817438733860893,0.37471645342441423,25.333333333333332
2020-02-29,ema_gap,v1.0.0,"[6, 12, 15, 18, 31, 43]",13,1,1,2,2,[43],0.11264277512372492,0.39854285403872214,32.5
2020-02-29,logistic,v1.0.0,"[6, 12, 15, 18, 31, 43]",13,2,2,3,3,"[6, 15]",0.10574787353871934,0.3645239909864125,18.0
2020-02-29,ensemble,v1.0.0,"[6, 12, 15, 18, 31, 43]",13,0,0,0,2,[],0.10755617678049743,0.37205203462519704,24.166666666666668
2020-03-04,random,v1.0.0,"[6, 8, 15, 24, 38, 41]",31,1,1,2,3,[6],0.10745522698875466,0.37177617994345336,22.0
2020-03-04,long_frequency,v1.0.0,"[6, 8, 15, 24, 38, 41]",31,0,0,2,2,[],0.1077343840093209,0.37304737159265594,27.333333333333332
2020-03-04,recent_frequency,v1.0.0,"[6, 8, 15, 24, 38, 41]",31,1,1,3,3,[38],0.10548344856309873,0.36235744540248094,17.5
2020-03-04,ema_gap,v1.0.0,"[6, 8, 15, 24, 38, 41]",31,0,0,2,4,[],0.10684081075327273,0.3664555795674872,20.0
2020-03-04,logistic,v1.0.0,"[6, 8, 15, 24, 38, 41]",31,0,0,0,2,[],0.10850975503969175,0.3761145016021771,27.666666666666668
2020-03-04,ensemble,v1.0.0,"[6, 8, 15, 24, 38, 41]",31,0,0,0,3,[],0.10716373918802534,0.3699961941208927,21.166666666666668
2020-03-07,random,v1.0.0,"[5, 8, 13, 27, 34, 46]",39,1,1,2,3,[5],0.10745522698875466,0.37177617994345336,22.166666666666668
2020-03-07,long_frequency,v1.0.0,"[5, 8, 13, 27, 34, 46]",39,1,1,3,3,[34],0.10724346622925668,0.3708388517618819,23.166666666666668
2020-03-07,recent_frequency,v1.0.0,"[5, 8, 13, 27, 34, 46]",39,0,0,0,1,[],0.10892083631820076,0.37778889271975113,27.833333333333332
2020-03-07,ema_gap,v1.0.0,"[5, 8, 13, 27, 34, 46]",39,0,0,1,1,[],0.10950399278318187,0.37833681559525467,24.666666666666668
2020-03-07,logistic,v1.0.0,"[5, 8, 13, 27, 34, 46]",39,1,1,1,2,[34],0.10821260206099569,0.37613351794070915,28.833333333333332
2020-03-07,ensemble,v1.0.0,"[5, 8, 13, 27, 34, 46]",39,1,1,1,2,[34],0.10826515752994575,0.37517091582192785,26.833333333333332
2020-03-11,random,v1.0.0,"[5, 24, 32, 37, 43, 44]",23,1,1,1,1,[5],0.10745522698875466,0.3717761799434531,30.833333333333332
2020-03-11,long_frequency,v1.0.0,"[5, 24, 32, 37, 43, 44]",23,1,1,1,1,[43],0.1075051962169757,0.3719652256661836,24.666666666666668
2020-03-11,recent_frequency,v1.0.0,"[5, 24, 32, 37, 43, 44]",23,2,2,3,3,"[24, 43]",0.10745879550187425,0.3730011916864376,24.333333333333332
2020-03-11,ema_gap,v1.0.0,"[5, 24, 32, 37, 43, 44]",23,2,2,2,3,"[24, 43]",0.10704174099639847,0.37410501059883744,22.833333333333332
2020-03-11,logistic,v1.0.0,"[5, 24, 32, 37, 43, 44]",23,1,1,2,2,[37],0.10809917551445489,0.37477114369163833,26.833333333333332
2020-03-11,ensemble,v1.0.0,"[5, 24, 32, 37, 43, 44]",23,1,1,2,2,[43],0.10738499438816052,0.3717320457994743,26.166666666666668
2020-03-14,random,v1.0.0,"[1, 2, 23, 27, 31, 32]",43,2,2,2,2,"[1, 2]",0.10745522698875463,0.3717761799434532,19.333333333333332
2020-03-14,long_frequency,v1.0.0,"[1, 2, 23, 27, 31, 32]",43,1,1,2,3,[31],0.10700447360976487,0.36971179822266487,19.166666666666668
2020-03-14,recent_frequency,v1.0.0,"[1, 2, 23, 27, 31, 32]",43,1,1,1,2,[2],0.10917455060391504,0.3798473626168127,29.833333333333332
2020-03-14,ema_gap,v1.0.0,"[1, 2, 23, 27, 31, 32]",43,1,1,2,2,[2],0.10823481015288981,0.375961283487708,26.833333333333332
2020-03-14,logistic,v1.0.0,"[1, 2, 23, 27, 31, 32]",43,0,0,0,1,[],0.10841257704804609,0.37601361547802253,31.5
2020-03-14,ensemble,v1.0.0,"[1, 2, 23, 27, 31, 32]",43,1,1,1,2,[2],0.10799308715992043,0.374293887327978,29.166666666666668
2020-03-18,random,v1.0.0,"[7, 8, 9, 12, 14, 36]",28,0,0,4,5,[],0.10745522698875463,0.3717761799434534,14.333333333333334
2020-03-18,long_frequency,v1.0.0,"[7, 8, 9, 12, 14, 36]",28,0,0,0,2,[],0.10794697241252507,0.37407326504628885,25.5
2020-03-18,recent_frequency,v1.0.0,"[7, 8, 9, 12, 14, 36]",28,0,0,0,0,[],0.11186548937942524,0.39334998491081385,35.5
2020-03-18,ema_gap,v1.0.0,"[7, 8, 9, 12, 14, 36]",28,1,1,2,2,[8],0.11196904634195588,0.3951193165263939,31.666666666666668
2020-03-18,logistic,v1.0.0,"[7, 8, 9, 12, 14, 36]",28,0,0,1,3,[],0.10796647144116521,0.3734659053142853,24.0
2020-03-18,ensemble,v1.0.0,"[7, 8, 9, 12, 14, 36]",28,0,0,1,2,[],0.10924414089995503,0.3803670530815912,34.0
2020-03-21,random,v1.0.0,"[6, 11, 22, 36, 37, 44]",10,1,1,2,2,[6],0.10745522698875466,0.37177617994345324,26.0
